GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
CD34,P28906,,CD34,none,Phycoerythrin,xxx,QBEND/10,xxx,,Abcam,ab30377,PE/555/Cy3,HSCs,Level 1,,,,Level 1,Level 1,no comment,stains bone marrow aspirate smears,CAJ_AbVal6,TON4,6,3,,,CAJ_TMA5_7,TMA6,7,3,,,ZM2_009_VIGNESH,Thymus,4,3,
CD19,P15391,,CD19,none,none,rabbit,D4V4B,IgG,,CST,90176S,"primary, rabbit",B-cells,Level 1,,,,no comment,no comment,no comment,500,CAJ_AbVal1,TON4,5,2,800,Cytoplasmic enriched in GCs.,CAJ_TMA5_7,TMA6,3,2,,,,,,,
BCL2,P10415,,BCL2,none,Alexa Fluor 647,mouse,clone 100,IgG1,H (no others mentioned),BioLegend,658705,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,Works,100,CAJ_AbVal5,TON4,6,4,,,CAJ_TMA5_7,TMA6,8,4,,,,,,,
MITF,O75030,bHLHE32,MITF,none,Alexa Fluor 488,mouse,D5,IgG1,,Abcam,AB201675,FITC/488,xxx,Level 2,triplet,,,Level 2,Level 2,JERRY,y,CAJ_AbVal9,TON4,7,2,,"NO signal (200), some aggregates",CAJ_TMA5_7,TMA6,15,2,,,,,,,
FOSB,P53539,,FOSB,none,Alexa Fluor 555,rabbit,EPR15905,IgG,,Abcam,ab211854,PE/555/Cy3,,in progress,,,,,,,x,Z103_CAJ_AbVal14,TON4,7,3,FOSB,300,CAJ_TMA5_7,TMA6,12,3,,,,,,,
FAP,Q12884,,FAP,none,none,mouse,F11-24,IgG1,,eBioscience,BMS168,"primary, mouse",xxx,Level 2,,,,Level 2,Level 2,JERRY,300-1000,CAJ_AbVal7,TON4,3,4,100,No signal. Use another tissue.,CAJ_TMA5_7,TMA7,3,4,,Saturating at blood vessels,ZM2_003_PDAC,all,3,4,
PMS2,P54278,,PMS2,none,Alexa Fluor 555,xxx,EPR3947,xxx,,Abcam,ab203457,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works,x,CAJ_AbVal5,TON4,5,3,,,CAJ_TMA5_7,TMA7,12,3,,,,,,,
MCAM,P43121,MCAM,CD146,none,Phycoerythrin,mouse,clone128018,IgG1,,R&D Systems,FAB932P,PE/555/Cy3,,in progress,,,,,,,20,CAJ_AbVal9,TON4,7,3,,WEAK (100) endothelial stain,CAJ_TMA5_7,TMA7,10,3,,WEAK (30) but specific staining in 1 tissue,,,,,
BCL2L11,O43521,,BIM,none,Alexa Fluor 488,rabbit,Y36,IgG,H (no others mentioned),Abcam,ab200667,FITC/488,xxx,Level 0,,,,no comment,no comment,background (tonsil),100,CAJ_AbVal5,TON4,5,2,,Weal (100) mitochondria-like staining.,CAJ_TMA8_10,TMA8,9,2,BIM,100,,,,,
,,,BCLXL,none,Alexa Fluor 647,xxx,EPR16642,xxx,,Abcam,ab200527,647/Cy5,xxx,Level 1,,Level 0,,no comment,no comment,Works (tonsil),100,CAJ_AbVal5,TON4,5,4,,,CAJ_TMA8_10,TMA8,7,4,BCLXL,100,,,,,
SDHA,P31040,,SDHA,none,Alexa Fluor 647,mouse,2E3GC12FB2AE2,IgG1,H M Rt,Abcam,ab168536,647/Cy5,,in progress,,Level 2,,,,,300,CAJ_AbVal6,TON4,8,4,,GOOD (300) mitochondrial staining,CAJ_TMA8_10,TMA8,16,4,SDHA,200,,,,,
PDGFRA,P16234,CD140A;PDGFR2,PDGFRa,none,Alexa Fluor 555,rabbit,D13C6,IgG,,CST,8893S,PE/555/Cy3,xxx,Level 0,,,,no comment,no comment,Ongoing (GBM),200,ZM_AbVal1,TON4,5,3,,WEAK 300),CAJ_TMA8_10,TMA8,12,3,PDGFRa,200,,,,,
SDC1,P18827,Syndecan 1,CD138,none,APC,mouse,DL-101,IgG1,,BioLegend,352308,647/Cy5,"plasma cells, MM (Dx) ",Level 1,,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON4,14,4,,,CAJ_TMA8_10,TMA9,15,4,CD138,200,ZM2_009_VIGNESH,CHL_EBV,9,4,
CD80,P33681,B7-1;BB1;CD28LG1,CD80,none,Alexa Fluor 647,mouse,MEM-233,IgG1,,BioRad,MCA2071A647T,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal3,TON4,13,4,,,CAJ_TMA8_10,TMA9,13,4,CD80,100,AM_TB,TB_B5;TB_C3_TB_E1,4,4,
RELA,Q04206,NFKB3;p65,RELA,none,Alexa Fluor 647,rabbit,E379,IgG,,Abcam,AB190589,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,1000,CAJ_AbVal7,TON4,6,4,,,CAJ_TMA8_10,TMA9,12,4,NFkB,1000,AM_TB,TB_B5;TB_C3_TB_E1,10,4,
,,,TLR10,none,none,goat,polyclonal,IgG,,Abcam,ab53631,"primary, goat",,Level 2 (ton),,,,,,,250,CAJ_AbVal11,TON4,3,3,100,"Cytoplasmic. Generally epithelial cells, some CD11B-positive cells.",CAJ_TMA8_10,TMA9,3,3,TLR10,300,,,,,
TLR4,O00206,TLR4,CD284,none,APC,mouse,HTA125,IgG2a,,BioLegend,312815,647/Cy5,,in progress,,,,,,,x,CAJ_AbVal11,TON4,5,4,,,CAJ_TMA8_10,TMA9,5,4,TLR4,100,,,,,
,,,TLR9,none,FITC,mouse,5G5,IgG2a,,Abcam,ab58864,FITC/488,,in progress,,,,,,,x,CAJ_AbVal11,TON4,6,2,,,CAJ_TMA8_10,TMA9,5,2,TLR9,200,,,,,
,,,TLR8,none,Phycoerythrin,mouse,44C143,IgG1,,Abcam,ab45097,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON4,6,3,,,CAJ_TMA8_10,TMA9,8,3,TLR8,300,,,,,
,,,TLR3,none,Phycoerythrin,mouse,40C1285.6,IgG1,,Thermo Fisher,MA5-16188,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON4,8,3,,,CAJ_TMA8_10,TMA9,6,3,TLR3,200,,,,,
,,,TLR5,none,Phycoerythrin,mouse,19D759.2,IgG2a,,eBioscience,MA5-16241,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal11,TON4,9,3,,SATURATING (1:200),CAJ_TMA8_10,TMA9,9,3,TLR5,500,,,,,
ITGAE,P38570,ITGAE; Integrin alpha E,CD103,none,none,rabbit,EP206,IgG,,Cell Marque,437R-15,"primary, rabbit","T-cells (intra-epithelial), dendritic cells (gut), hairy cell leukemia (Dx)",Level 1,,,,no comment,no comment,no comment,50,CAJ_AbVal11,TON4,3,2,50,GOOD: T-cells in tonsil,x,,,,,,ZM_149_MART,AD_PS,3,2,
MKI67,P46013,,Ki67,none,eFluor 570,mouse,20Raj1,IgG1,,Invitrogen,41-5699-80,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON4,6,3,,,same as 41-5699-82,,,,,,ZM2_029_ALL2,ALL2,6,3,
CD274,Q9NZQ7,PDL1;B7H1,CD274,none,Alexa Fluor 555,rabbit,28-8,IgG,,Abcam,AB213358,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,Works,200,CAJ_AbVal11,TON4,5,3,,WEAK (300) some aggregates. Similar to other PDL1 antibody,cued,,,,,,ZM1_059_Nicole4,BP10,8,3,
,,,EBV LMP-2A,none,Alexa Fluor 488,rat,15F9,IgG1,,Santa Cruz Biotechnologies,sc-101315 AF488,FITC/488,,,,,,,,,x,CAJ_AbVal6,TON4,4,2,,,x,,,,,,ZM2_009_VIGNESH,CHL_EBV,4,2,
,,,EBV EBNA1,none,Alexa Fluor 647,mouse,1EB12,IgG1,,Santa Cruz Biotechnologies,sc-81581 AF647,647/Cy5,,,,,,,,,x,CAJ_AbVal6,TON4,4,4,,,x,,,,,,ZM2_009_VIGNESH,CHL_EBV,5,4,
,,,EBV Ea-D,none,Alexa Fluor 647,mouse,1108-1,IgG1,,Santa Cruz Biotechnologies,sc-69679 AF647,647/Cy5,,,,,,,,,x,CAJ_AbVal6,TON4,6,4,,,x,,,,,,ZM2_009_VIGNESH,CHL_EBV,6,4,
CR1,P17927,CR1; Complement receptor 1,CD35,none,Phycoerythrin,xxx,E11,xxx,,Abcam,ab82439,PE/555/Cy3,"myeloid, B-cells",Level 0,,,,no comment,no comment,Didn't work,300,CAJ_AbVal6,TON4,7,3,,"NO signal (200), some aggregates",x,,,,,,ZM2_009_VIGNESH,CHL_EBV,8,3,
ITGAE,P38570,ITGAE; Integrin alpha E,CD103,none,Alexa Fluor 647,mouse,Ber-ACT8,IgG1,,BioLegend,350209,647/Cy5,"T-cells (intra-epithelial), dendritic cells (gut), hairy cell leukemia (Dx)",Level 1,,,,Level 1,Level 1,Ongoing,x,ZM_AbVal2,TON4,8,4,,,x,,,,,,ZM1_037_Nicole1,LP40,10,4,
FCGR3,P08637;O75015,,CD16,none,Alexa Fluor 488,mouse,3G8,IgG1,,BioLegend,302019,FITC/488,"mac, mono, PMN, NK",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal1,TON4,8,2,,,x,,,,,,,,,,
ITGAX,P20702,ITGAX; Integrin alpha X,CD11C,none,Biotin,mouse,188/A5,IgG2b,,Thermo Fisher,13-9761-82,,,,,,,,,,x,CAJ_AbVal11,TON4,3,4,,,x,,,,,,,,,,
XIAP,P98170,API3;BIRC4;IAP3,XIAP,none,none,mouse,clone 48/hILP1/XIAP,IgG1,,BD,610762,"primary, mouse",xxx,"Level (ton, test in other tissues)",,,,no comment,no comment,no comment,100,CAJ_AbVal2,TON4,3,4,100,Mitochondria-like staining in a rare cell type.,x,,,,,,,,,,
,,,PDI,none,none,rabbit,polyclonal,IgG,,CST,2446S,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,,CAJ_AbVal2,TON4,4,2,100,STAINS. 200-400. Follow up in control tissues.,x,,,,,,,,,,
TNFRSF9,Q07011,TNFRSF9;4BB1;CD137,CD137,none,none,rabbit,D2Z4Y,IgG,H,CST,34594S,"primary, rabbit","Activated T-cells, also DC, others",Level 0,,,,no comment,no comment,no comment,,CAJ_AbVal3,TON4,6,2,100,,cue_orimary,,,,,,,,,,
RAC1,P63000,,Rac,none,none,mouse,,,,BD,610650,"primary, mouse",xxx,Level 1,,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON4,6,4,500,Cytoplasmic. Lower in GC cells.,x,,,,,,,,,,
KLRG1,Q96E93,MAFA;CLEC1A;HNK1; B3GAT1,CD57,none,none,mouse,NK-1,IgM,,BioCare,CM 007 B,"primary, mouse",,Level 2,,,,,,,x,CAJ_AbVal4,TON4,3,4,50,Membrane. Co-stains cells with CD57-PE in cycle 4.,x,,,,,,,,,,
MTHFD2,P13995,NMDMC,MTHFD2,none,none,rabbit,polyclonal,IgG,H (M Rt B),Abcam,ab228757,"primary, rabbit",,in progress,,Level 1,,,,,x,CAJ_AbVal5,TON4,3,2,200,Weak (200) cytoplasmic staining of some cells. Get another antibody.,x,,,,,,,,,,
LMNB2,Q03252,Lamin B2,LMNB2,none,Alexa Fluor 488,rabbit,EPR9701(B),IgG,,Abcam,ab200426,FITC/488,,in progress,,,,,,,200,CAJ_AbVal5,TON4,7,2,200,"GOOD staining, different staining of different cells",cued,,,,,,,,,,
SATB1,Q01826,,SATB1,none,Alexa Fluor 647,rabbit,EPR3895,IgG,H (M R),Abcam,ab204469,647/Cy5,xxx,Level 0,,,,no comment,no comment,background (non-specific staining with collagen),300,CAJ_AbVal5,TON4,7,4,,GOOD (200). Bright nuclear staining in rare cells.,x,,,,,,,,,,
GAPDH,Q15910,,GAPDH,none,none,rabbit,14C10,IgG,,CST,2118S,"primary, rabbit",xxx,in progress,,,,no comment,no comment,no comment,800,CAJ_AbVal6,TON4,3,2,800,OK: similar to 2nd Ab,x,,,,,,,,,,
IRF4,Q15306,MUM1P,IRF4,none,none,mouse,MUM1p,IgG1,,Abcam,ab12501,"primary, mouse",,Level 1 (ton),,,,,,,30,CAJ_AbVal6,TON4,3,4,30,Nuclear stainig of CD3D-CD20- cells.,cue_primary,,,,,,,,,,
POU5F1,Q01860,OCT3;OCT4;OTF3,Oct_4,none,Alexa Fluor 555,xxx,C30A3,xxx,,CST,4439S,PE/555/Cy3,xxx,Level 0,,,,Level 0,Level 0,no comment,200,CAJ_AbVal6,TON4,5,3,,NO signal (200),cued,,,,,,,,,,
SREBF2,Q12772,bHLHd2,SREBP2,none,none,rabbit,polyclonal,IgG,,Abcam,ab28482,"primary, rabbit",,,,,,,,,500,CAJ_AbVal7,TON4,3,2,500,NO (500) specific signal. Maybe aggregates,cue primary,,,,,,,,,,
,,,H2B,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,sc-8650,"primary, goat",,Level 1,aggregates,,,,,,x,CAJ_AbVal9,TON4,3,3,500," Nuclear. Weak staining, some aggregates",x,,,,,,,,,,
ICOS,Q9Y6W8,ICOS,CD278,none,none,rabbit,,IgG,H,CST,89601S,,,in progress,,,,,,,,Z103_CAJ_AbVal14,TON4,3,2,ICOS,200,,,,,,,,,,,
,,,IFNGR1,,Alexa Fluor 488,,,,,abcam,ab200327,,,,,,,,,,,Z103_CAJ_AbVal14,TON4,7,2,IFNGR1,200,,,,,,,,,,,
ITGAE,P38570,ITGAE; Integrin alpha E,CD103,none,none,rabbit,EPR4166(2),IgG,,Abcam,ab129202,"primary, rabbit","T-cells (intra-epithelial), dendritic cells (gut), hairy cell leukemia (Dx)",Level 1,,,,no comment,no comment,no comment,500,ZM_AbVal1,TON4,2,2,,GOOD: T-cells in tonsil,cue_primary,,,,,,,,,,
FLT1,P17948,Flt1,VEGFR1,none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-31173,"primary, goat",xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON4,2,3,300,Background staining in CY3 channel.,x,,,,,,,,,,
JUN,P05412,cJun,JUN,p_S63,none,mouse,KM-1,IgG1,,Santa Cruz Biotechnologies,SC-822,"primary, mouse",xxx,Level 0,,,,Level 0,Level 0,no comment,zm1_121: ton4 misloc? Cytoplasmic (1:100),ZM_AbVal2,TON4,3,4,100,Nuclear staining in most cells. Strong cytoplasmic staining in endothelial-like cells. Is this real?,x,,,,,,,,,,
PECAM1,P16284,PECAM-1,CD31,none,Phycoerythrin,mouse,9G11,IgG1,,R&D Systems,FAB3567P,PE/555/Cy3,"mono, PMN, endothelium",Level 1,,,,Level 1,Level 1,no comment,x,ZM_AbVal2,TON4,8,3,,100,x,,,,,,,,,,
ACTA2,P62736,,"Actin, alpha, smooth muscle",none,eFluor 660,mouse,1A4,IgG2a,,eBioscience,50-9760-82,647/Cy5,,Level 2,Triplet,,,Level 2,Level 2,Works,x,ZM_AbVal2,TON4,10,4,1000,,x,,,,,,,,,,
CEACAM8,P31997,CEACAM8,CD66B,none,Phycoerythrin,mouse,G10F5,IgM,,Thermo Fisher,12-0666-41,PE/555/Cy3,granulocytes,Level 1,ZM1_121,,,no comment,no comment,no comment,x,ZM_AbVal2,TON5,11,3,,,CAJ_TMA1,TMA1,5,3,,,AM_TB,TB_B5;TB_C3_TB_E1,8,3,
CD1B,P29016,,CD1B,none,Phycoerythrin,mouse,SN13,IgG1,,Abcam,ab232916,PE/555/Cy3,,Level 0,,,,,,,x,CAJ_AbVal5,TON5,7,3,,,CAJ_TMA1,TMA1,10,3,,FAIL. Stains (300) like aSMA or some collagen. Never on cell or cell membrane.,,,,,
SPN,P16150,Sialophorin;Leukosilain,CD43,none,Alexa Fluor 488,mouse,DF-T1,IgG1,,Santa Cruz Biotechnologies,sc-6256 AF488,FITC/488,,Level 2,VS-CTLC project,,,300,,,x,CAJ_AbVal4,TON5,5,2,,,CAJ_TMA8_10,TMA10,11,2,CD43,100,ZM2_009_VIGNESH,ALL_ALK1,7,2,
AURKA,O14965,,AURKA,none,Phycoerythrin,rabbit,D3E4Q,IgG,,CST,50235S,PE/555/Cy3,,in progress,,,,,,,200,CAJ_AbVal3,TON5,12,3,,,CAJ_TMA8_10,TMA10,13,3,AURKA,200,,,,,
NUP98,P52948,,NUP98,none,Alexa Fluor 647,rabbit,C39A3,IgG,H M Rt Mk,CST,13393S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,CAJ_AbVal3,TON5,12,4,,,CAJ_TMA11_13,TMA11,7,4,NUP98,200,,,,,
LMNA,P02545,,LMNAC,none,Alexa Fluor 488,rabbit,4C11,IgG,H M Rt Mk,CST,8617S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,CAJ_AbVal3,TON5,14,2,,,CAJ_TMA11_13,TMA11,10,2,LaminAC,100,,,,,
LMNB1,P20700,Lamin B1,LMNB1,none,Alexa Fluor 488,rabbit,EPR8985(B),IgG,,Abcam,ab194106,FITC/488,,in progress,,,,,,,x,CAJ_AbVal5,TON5,7,2,,,CAJ_TMA11_13,TMA11,8,2,LMNB1,200,,,,,
RUNX3,Q13761,,RUNX3,none,eFluor 660,mouse,R3-5G4,IgG1,,eBioscience,50-9817-80,647/Cy5,xxx,Level 1,,,,Level 1,Level 1,no comment,200,ZM_AbVal2,TON5,10,4,200,GOOD (100). Nuclear staining of some cells.,CAJ_TMA11_13,TMA12,14,4,RunX3,200,,,,,
NFATC1,O95644,NFAT2,NFATC1,none,Phycoerythrin,mouse,7A6,IgG1,,BioLegend,649606,PE/555/Cy3,,Level 2,VS,,,Level 2,Level 2,JERRY,x,CAJ_AbVal1,TON5,8,3,,,CAJ_TMA2_4,TMA2,12,3,,,ZM1_149_MART1,AD;PS,10,3,
CD274,Q9NZQ7,PDL1;B7H1,CD274,none,Alexa Fluor 647,rabbit,E1L3N,IgG,,CST,15005S,647/Cy5,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,300,ZM_AbVal1,TON5,5,4,,,CAJ_TMA2_4,TMA2,9,4,,,ZM1_059_Nicole4,BP10,9,4,
PDCD1,Q15116,PD1,CD279,none,Alexa Fluor 647,rabbit,EPR4877(2),IgG,,Abcam,ab201825,647/Cy5,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 0,Level 0,Works great,200,ZM_AbVal2,TON5,6,4,,,CAJ_TMA2_4,TMA2,8,4,,,ZM1_151_VIT,LP;MEL;NL;VIT,6,4,
IL2RA,P01589,IL2RA,CD25,none,none,rabbit,EPR6452,IgG,,Abcam,ab128955,"primary, rabbit","activated T-cells, B-cells, T-regs",Level 1,,,,Level 1,Level 1,no comment,x,CAJ_AbVal3,TON5,6,4,WHAT IS THIS?,,CAJ_TMA2_4,TMA2,3,2,,,,,,,
LILRB1,Q8NHL6,ILT2;LIR1,CD85J,none,Alexa Fluor 647,mouse,GHI/75,IgG2b,H (no others mentioned),BioLegend,333709,647/Cy5,"CD33+ or CD14+ myeloid, DC",in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON5,9,4,,,CAJ_TMA2_4,TMA4,8,4,,,ZM1_149_MART1,AD;PS,10,4,
AIF1,P55008,,IBA1,none,Alexa Fluor 488,rabbit,EPR6136(2),IgG,,Abcam,ab195031,FITC/488,xxx,Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,400,ZM_AbVal2,TON5,5,2,,,CAJ_TMA2_4,TMA4,6,2,,,ZM1_037_Nicole1,LP40,14,2,
CD40,P25942,TNFRSF5,CD40,none,none,rabbit,D8W3N,IgG,,CST,40868S,"primary, rabbit",APCs,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON5,4,2,100,,CAJ_TMA2_4,TMA4,3,2,,,,,,,
SYK,P43405,,Syk,none,Alexa Fluor 488,rabbit,EP573Y,IgG,H (no others mentioned),Abcam,ab198938,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal5,TON5,5,2,,,CAJ_TMA5_7,TMA5,14,2,,,,,,,
ZEB1,P37275,TCF8;AREB6;ZEB1,AREB6,none,Alexa Fluor 647,rabbit,EPR17375,IgG,H (no others mentioned),Abcam,ab216121,647/Cy5,xxx,Level 1,,,,no comment,no comment,May work,x,CAJ_AbVal5,TON5,5,4,,,CAJ_TMA5_7,TMA5,10,4,,,,,,,
YAP1,P46937,,YAP1,none,Alexa Fluor 647,rabbit,D8H1X,IgG,,CST,38707S,647/Cy5,,in progress,,Level 0,,,,,x,CAJ_AbVal5,TON5,6,4,,,CAJ_TMA5_7,TMA5,11,4,,,,,,,
KDR,P35968,CD309,VEGFR2,none,Phycoerythrin,rabbit,D5B1,IgG,H M Rt,CST,12634S,PE/555/Cy3,xxx,Level 2,triplet,Level 1,,Level 2,Level 0,no comment,150,ZM_AbVal1,TON5,5,3,,STAINS.150.,CAJ_TMA5_7,TMA5,11,3,,,,,,,
STAT3,P40763,,STAT3,p_Y705,Alexa Fluor 647,rabbit,D3A7,IgG,,CST,4324S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,300,ZM_AbVal1,TON5,6,4,,,CAJ_TMA5_7,TMA7,6,4,,,ZM1_059_Nicole4,BP10,10,4,
,P16104,,H2A.X,p_S139,Phycoerythrin,mouse,2F3,IgG1,H M,BioLegend,613412,PE/555/Cy3,xxx,Level 1,,Level 1,,no comment,no comment,no comment,300,ZM_AbVal2,TON5,10,3,,,CAJ_TMA5_7,TMA7,9,3,,,,,,,
FN1,P02751,Fibronectin,FN,none,Alexa Fluor 488,xxx,F1,xxx,,Abcam,ab198933,FITC/488,xxx,Level 1,,,,Level 1,Level 1,no comment,1000,CAJ_AbVal5,TON5,6,2,,,CAJ_TMA8_10,TMA8,17,2,Fibronectin,1000,ZM2_003_PDAC,all,8,2,
CD33,P20138,SIGLEC3,CD33,none,Phycoerythrin,mouse,P67.6,IgG1,,BioLegend,366608,PE/555/Cy3,"myeloid, some lymphoid",in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal3,TON5,11,3,,,CAJ_TMA8_10,TMA8,7,3,CD33,100,ZM2_009_VIGNESH,ALL_ALK1,7,3,
STAT1,P42224,,STAT1,p_Y701,Alexa Fluor 555,rabbit,58D6,IgG,,CST,8183S,PE/555/Cy3,xxx,Level 0,,,,Level 0,Level 0,May work,100,ZM_AbVal1,TON5,6,3,,,CAJ_TMA8_10,TMA9,15,3,pSTAT1,100,ZM1_059_Nicole4,BP10,7,3,
,,,PKM1,none,Phycoerythrin,rabbit,D30G6,IgG,,CST,19000S,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal4,TON5,5,3,,,CAJ_TMA8_10,TMA9,12,3,PKM1,100,,,,,
IRF3,Q14653,,IRF3,none,Alexa Fluor 488,,,,,Abcam,ab204647,FITC/488,xxx,in progress,,,,no comment,no comment,no comment,,CAJ_AbVal2,TON5,9,2,,,x,,,,,,ZM1_149_MART1,AD;PS,9,2,
EOMES,O95936,Eomes,Tbr2,none,none,rabbit,polyclonal,IgG,,EMD-Millipore,AB2283,"primary, rabbit",xxx,Level 1,,,,no comment,no comment,no comment,300,CAJ_AbVal1,TON5,5,2,300,,x,,,,,,,,,,
IL2RA,P01589,IL2RA,CD25,none,none,mouse,GLLZDMY,IgG1,,Thermo Fisher,14-0256-82,"primary, mouse","activated T-cells, B-cells, T-regs",in progress,,,,no comment,no comment,no comment,x,CAJ_AbVal2,TON5,4,4,50,Membrane. Intermediate staining broadly in epithelia and a few brighter staining. The LS Bio antibody is more convincing.,x,,,,,,,,,,
MET,P08581,HGFR;cMet; MER,MET,none,none,rabbit,D1C2,IgG,,CST,8198P,"primary, rabbit",,,,,,,,,x,CAJ_AbVal4,TON5,3,2,300,,x,,,,,,,,,,
OPTN,Q96CV9,Optineurin,OPTN,none,none,mouse,C-2,IgG2b,,Santa Cruz Biotechnologies,sc-166576,"primary, mouse",,,,,,,,,x,CAJ_AbVal4,TON5,3,4,100,Strange. Large regions that contain multiple cells including CD11B-positive cells.,x,,,,,,,,,,
MUC2,Q02817,SMUC; Mucin 2,MUC2,none,none,rabbit,EPR6145,IgG,,Abcam,ab134119,"primary, rabbit",,,,,,,,,x,CAJ_AbVal5,TON5,3,2,300,NO (). Bright staining in at least 1 GC.,x,,,,,,,,,,
PECAM1,P16284,PECAM-1,CD31,none,Phycoerythrin,mouse,JC/70A,IgG1,,Abcam,ab215660,PE/555/Cy3,,,,Level 0,,,,,x,CAJ_AbVal5,TON5,5,3,,,x,,,,,,,,,,
,,,"Hsp90, beta",none,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-1057,"primary, goat",xxx,Level 1,,,,Level 1,Level 1,no comment,300,ZM_AbVal1,TON5,2,3,300,Cytoplasmic. High in GC cells.,x,,,,,,,,,,
CD2,P06729,LFA2;LFA3R;SRBC,CD2,none,none,rabbit,polyclonal,IgG,,Abcam,ab37212,"primary, rabbit","T, NK",Level 2,,,,Level 2,Level 2,JERRY,100,ZM_AbVal2,TON5,4,2,,,x,,,,,,,,,,
GATA3,P23771,GATA3,GATA3,none,none,mouse,1A12-1D9,IgG1,,Thermo Fisher,MA1-028,"primary, mouse",xxx,in progress,,,,no comment,no comment,no comment,100,ZM_AbVal2,TON5,4,4,100,"Cytoplasmic, mostly epithelial staining.",x,,,,,,,,,,
ITGAL,P20701,ITGAL; Integrin alpha L; LFA-1,CD11A,none,FITC,mouse,HI111,IgG1,,eBioscience,11-0119-41,FITC/488,"T, NK, CD33+ myeloid",Level 0,,,,Level 0,Level 0,no comment,x,ZM_AbVal2,TON5,6,2,,,x,,,,,,,,,,
HAVCR1,Q96D42,TIM1,CD365,none,Phycoerythrin,mouse,1D12,IgG1,,BioLegend,353904,PE/555/Cy3,,,,,,,,,x,ZM_AbVal2,TON5,8,3,100,NO signal,x,,,,,,,,,,
MKI67,P46013,,KI67,none,eFluor 570,mouse,20Raj1,IgG1,,Invitrogen,41-5699-82,PE/555/Cy3,,in progress,,,,,,,x,CAJ_AbVal5,TON6,6,3,,,CAJ_TMA8_10,TMA10,11,3,Ki67,100,ZM2_029_ALL2,ALL2,6,3,
CCND1,P24385,,Cyclin D1,none,Alexa Fluor 488,rabbit,EPR2241,IgG,M Rt H,Abcam,AB190194,FITC/488,xxx,Level 2,,Level 1,,Level 2,Level 2,Works,200,ZM_AbVal1,TON6,5,2,,,CAJ_TMA8_10,TMA10,7,2,CycD1,200,ZM2_029_ALL2,ALL2,12,2,
CDKN1B,P46527,p27_Kip1,CDKN1B,none,Alexa Fluor 647,xxx,Y236,xxx,,Abcam,AB194234,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,ZM_AbVal1,TON6,5,4,,,CAJ_TMA8_10,TMA10,7,4,p27,300,ZM2_029_ALL2,ALL2,12,4,
CDKN1A,P38936,p21;Waf1;Cip1,CDKN1A,none,Alexa Fluor 647,xxx,12D1,xxx,,CST,8587S,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,Works,x,ZM_AbVal1,TON6,6,4,,,CAJ_TMA8_10,TMA10,9,4,p21,200,ZM2_029_ALL2,ALL2,11,4,
RB1,P06400,,Rb,p_S807/811,Alexa Fluor 555,xxx,D20B12,xxx,,CST,8957S,PE/555/Cy3,xxx,Level 2,Triplet,,,Level 2,Level 2,Works,x,ZM_AbVal1,TON6,6,3,,,CAJ_TMA8_10,TMA10,9,3,pRb,300,ZM2_003_AZ_SMINT,SMINT1;SMINT2,9,3,
